Year,Playlist Name,Track Name,Artist(s),Spotify URL
2012,Top Hits of 2012,Paradise,Coldplay,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D
2012,Top Hits of 2012,Rumour Has It,Adele,https://open.spotify.com/track/2A73XBDBQgmdXO8VsXPWIs
2012,Top Hits of 2012,It's Time,Imagine Dragons,https://open.spotify.com/track/6BtmXhTJMM9sBTHeYYASGz
2012,Top Hits of 2012,Want U Back,Cher Lloyd,https://open.spotify.com/track/6E11E0lT5Zy7yb6iT3y8DN
2012,Top Hits of 2012,Titanium (feat. Sia),"David Guetta, Sia",https://open.spotify.com/track/0lHAMNU8RGiIObScrsRgmP
2012,Top Hits of 2012,Girl on Fire,Alicia Keys,https://open.spotify.com/track/4esOae7i4rqTbAu9o5Pxco
2012,Top Hits of 2012,Payphone,"Maroon 5, Wiz Khalifa",https://open.spotify.com/track/4P0osvTXoSYZZC2n8IFH3c
2012,Top Hits of 2012,The One That Got Away,Katy Perry,https://open.spotify.com/track/3oL3XRtkP1WVbMxf7dtTdu
2012,Top Hits of 2012,Lights - Single Version,Ellie Goulding,https://open.spotify.com/track/5aTsxlQlq0vIedDWZoqMWN
2012,Top Hits of 2012,Boyfriend,Justin Bieber,https://open.spotify.com/track/2L7rZWg9RLxIwnysmxm4xk
